Count,Date,Close,DecisionTree,LinearSVR,RandomForest,Lasso,Ridge,Bay,GradientBoost,SGD,ES,ES_V
35,09-Sep-19,11003.05,11003.05,11016.47193,10949.90631,10944.03377,10954.88304,10951.07997,10979.19517,10944.03377,10977.38383,10970.39474
36,11-Sep-19,11035.7,11035.7,11075.15664,10955.00602,11000.74844,11011.90264,11007.97517,10950.28576,11000.74844,10980.33059,11027.80993
37,12-Sep-19,10982.8,10982.8,11097.9212,11008.25998,11033.21418,11043.44135,11040.02832,11022.92872,11033.21418,11004.6629,11056.91102
38,13-Sep-19,11075.9,11075.9,11032.41926,10957.04042,10980.32307,10989.26563,10986.5566,10986.35197,10980.32307,11006.43079,10999.65729
39,16-Sep-19,11003.5,11003.5,11109.94857,11023.97576,11072.93384,11080.45976,11078.54351,11040.48122,11072.93384,11022.65232,11087.03592
40,17-Sep-19,10817.6,10817.6,11093.31375,10955.00602,11001.51421,11014.60959,11009.73447,10906.25512,11001.51421,10892.95371,11034.67615
41,18-Sep-19,10840.65,10840.65,10929.06831,10834.85623,10816.60509,10831.41607,10825.45173,10835.42803,10816.60509,10836.97809,10856.86198
42,19-Sep-19,10704.8,10704.8,10928.72961,10848.41219,10839.27195,10851.76029,10847.04123,10807.38622,10839.27195,10786.86614,10871.53361
43,24-Sep-19,11588.2,11588.2,10802.52454,10829.60489,10704.14594,10717.02758,10711.83045,11228.64136,10704.14594,11215.48208,10739.35096
44,25-Sep-19,11440.2,11440.2,11600.56383,11589.28514,11582.87762,11590.01384,11589.08703,11556.12294,11582.87762,11528.53603,11590.70104
45,26-Sep-19,11571.2,11571.2,11455.02789,11479.83612,11435.48986,11442.33502,11441.32631,11489.97193,11435.48986,11513.66935,11443.82291
46,27-Sep-19,11512.4,11512.4,11566.78028,11577.94569,11565.79209,11570.98931,11570.95845,11590.27704,11565.79209,11560.20758,11567.72267
47,30-Sep-19,11474.45,11474.45,11512.94762,11490.34915,11507.23758,11512.98636,11512.72266,11474.59432,11507.23758,11479.79782,11510.85871
48,01-Oct-19,11359.9,11359.9,11468.7098,11490.34915,11469.43253,11474.23644,11474.31235,11459.25082,11469.43253,11436.49999,11470.71439
49,03-Oct-19,11314,11314,11354.56016,11402.16482,11355.3971,11359.5741,11359.65392,11337.74229,11355.3971,11351.30237,11356.43839
50,04-Oct-19,11174.75,11174.75,11314.38966,11288.58873,11309.51538,11314.36675,11314.17614,11291.34104,11309.51538,11251.55992,11312.61075
51,07-Oct-19,11126.4,11126.4,11195.06075,11202.50086,11171.04228,11177.64974,11176.44947,11197.12864,11171.04228,11175.34317,11180.76413
52,09-Oct-19,11313.3,11313.3,11154.03657,11112.19319,11123.01121,11130.14507,11128.56491,11158.46647,11123.01121,11194.65322,11135.10989
53,10-Oct-19,11234.55,11234.55,11321.98628,11291.68666,11308.91757,11314.63784,11314.00392,11284.09894,11308.91757,11270.11187,11314.87446
54,11-Oct-19,11305.05,11305.05,11248.52462,11247.92641,11230.55279,11236.60298,11235.71534,11292.70609,11230.55279,11281.89416,11238.17409
55,14-Oct-19,11341.15,11341.15,11315.66211,11293.76185,11300.82585,11306.72643,11305.98843,11297.79979,11300.82585,11310.90388,11307.39134
56,15-Oct-19,11428.3,11428.3,11342.14798,11352.33369,11336.67447,11341.52044,11341.27608,11358.47683,11336.67447,11379.70351,11339.93532
57,16-Oct-19,11464,11464,11420.04544,11465.17756,11423.36085,11427.41635,11427.63138,11464.98749,11423.36085,11464.72168,11423.57926
58,17-Oct-19,11586.35,11586.35,11450.57769,11490.34915,11458.86162,11462.53883,11463.01939,11511.52744,11458.86162,11529.40887,11457.38961
59,18-Oct-19,11661.85,11661.85,11561.3333,11589.28514,11580.55446,11583.54626,11584.61047,11607.26113,11580.55446,11619.46542,11575.40669
60,22-Oct-19,11588.35,11588.35,11636.65797,11673.11009,11655.7599,11659.02803,11660.07662,11695.19911,11655.7599,11652.21973,11650.72892
61,23-Oct-19,11604.1,11604.1,11568.03168,11596.12046,11582.63123,11586.25744,11587.07454,11594.17179,11582.63123,11598.13075,11579.14879
62,24-Oct-19,11582.6,11582.6,11590.60683,11645.00954,11598.35388,11602.85995,11603.31347,11613.81172,11598.35388,11613.80709,11597.32098
63,25-Oct-19,11583.9,11583.9,11583.00007,11584.70748,11577.11172,11582.95394,11582.66974,11608.80187,11577.11172,11592.46978,11580.80484
64,29-Oct-19,11786.85,11786.85,11590.60312,11596.12046,11578.40425,11585.06519,11584.45358,11653.6984,11578.40425,11678.88962,11584.36345
65,30-Oct-19,11844.1,11844.1,11755.7064,11744.36543,11780.22113,11783.36903,11784.69449,11768.5497,11780.22113,11785.67171,11773.42967
66,31-Oct-19,11877.45,11877.45,11808.00684,11925.89316,11837.16504,11839.97544,11841.54577,11907.48561,11837.16504,11903.60959,11828.79422
67,04-Nov-19,11941.3,11941.3,11840.89473,11925.89316,11870.28608,11873.23296,11874.82332,11918.55369,11870.28608,11928.58228,11861.89179
68,05-Nov-19,11917.2,11917.2,11917.59204,11923.25287,11934.0094,11938.70678,11939.59731,11950.82424,11934.0094,11930.42571,11930.26904
69,06-Nov-19,11966.05,11966.05,11892.01231,11923.25287,11910.05111,11914.45039,11915.42309,11955.34049,11910.05111,11948.21445,11905.69922
70,07-Nov-19,12012.05,12012.05,11933.66603,11931.57595,11958.67167,11962.32728,11963.65869,11952.44175,11958.67167,11965.3559,11951.86558
71,08-Nov-19,11908.15,11908.15,11972.20597,11934.89505,12004.44912,12007.40547,12009.11437,11903.97671,12004.44912,11915.67392,11995.12295
72,11-Nov-19,11913.45,11913.45,11868.44097,11925.89316,11901.04719,11903.42831,11905.15229,11903.35249,11901.04719,11914.23188,11891.41729
73,13-Nov-19,11840.45,11840.45,11874.31175,11925.89316,11906.3607,11908.71412,11910.39989,11893.03677,11906.3607,11886.45998,11896.88859
74,14-Nov-19,11872.1,11872.1,11812.45042,11910.5323,11833.784,11836.83972,11837.94576,11865.08443,11833.784,11882.57224,11827.91255
75,15-Nov-19,11895.45,11895.45,11851.08282,11925.89316,11865.32994,11869.397,11870.12885,11896.28971,11865.32994,11905.87762,11862.0263
76,18-Nov-19,11884.5,11884.5,11867.2231,11925.89316,11888.50449,11891.99904,11893.1127,11886.7265,11888.50449,11899.03989,11882.80249
77,19-Nov-19,11940.1,11940.1,11857.47437,11925.89316,11877.64864,11881.08084,11882.12586,11896.28971,11877.64864,11920.76096,11872.26573
78,20-Nov-19,11999.1,11999.1,11902.74797,11928.48297,11932.85545,11935.45265,11937.03504,11958.25859,11932.85545,11961.94719,11924.07305
