Date,Price,Open,High,Low,Volume,Chg%
"Nov 14, 2017",9.8565,9.8536,9.8709,9.8308,0,0.02%
"Nov 15, 2017",9.8543,9.8598,9.8753,9.8417,0,-0.02%
"Nov 16, 2017",9.8473,9.8535,9.862,9.8248,0,-0.07%
"Nov 17, 2017",9.811,9.8455,9.862,9.7551,0,-0.37%
"Nov 20, 2017",9.8117,9.815,9.8293,9.7991,0,0.01%
"Nov 21, 2017",9.7864,9.8096,9.8186,9.7835,0,-0.26%
"Nov 22, 2017",9.8151,9.7841,9.8235,9.7724,0,0.29%
"Nov 23, 2017",9.8079,9.8201,9.856,9.8064,0,-0.07%
"Nov 24, 2017",9.7967,9.8188,9.8308,9.7902,0,-0.11%
"Nov 27, 2017",9.7738,9.7928,9.8232,9.7594,0,-0.23%
"Nov 28, 2017",9.7478,9.7689,9.7874,9.7465,0,-0.27%
"Nov 29, 2017",9.7377,9.7449,9.7761,9.7163,0,-0.10%
"Nov 30, 2017",9.7523,9.7407,9.7773,9.7348,0,0.15%
"Dec 01, 2017",9.7501,9.7589,9.7706,9.7456,0,-0.02%
"Dec 04, 2017",9.7255,9.7583,9.7612,9.714,0,-0.25%
"Dec 05, 2017",9.7234,9.7295,9.7487,9.7167,0,-0.02%
"Dec 06, 2017",9.7553,9.7239,9.7599,9.7238,0,0.33%
"Dec 07, 2017",9.7548,9.7477,9.7684,9.7476,0,-0.01%
"Dec 08, 2017",9.7384,9.754,9.7606,9.7316,0,-0.17%
"Dec 11, 2017",9.7233,9.7411,9.7482,9.7192,0,-0.16%
"Dec 12, 2017",9.7274,9.7299,9.744,9.7179,0,0.04%
"Dec 13, 2017",9.741,9.7297,9.7548,9.7225,0,0.14%
"Dec 14, 2017",9.7344,9.7569,9.7611,9.7211,0,-0.07%
"Dec 15, 2017",9.6953,9.7317,9.7379,9.6875,0,-0.40%
"Dec 18, 2017",9.7047,9.6945,9.7932,9.6889,0,0.10%
"Dec 19, 2017",9.6992,9.7069,9.7104,9.6808,0,-0.06%
"Dec 20, 2017",9.7461,9.7029,9.7501,9.697,0,0.48%
"Dec 21, 2017",9.7225,9.7721,9.7825,9.721,0,-0.24%
"Dec 22, 2017",9.7334,9.733,9.7572,9.7245,0,0.11%
"Dec 25, 2017",9.7894,9.7415,9.7918,9.7415,0,0.58%
"Dec 26, 2017",9.7858,9.7873,9.7987,9.7627,0,-0.04%
"Dec 27, 2017",9.7792,9.7811,9.7925,9.7621,0,-0.07%
"Dec 28, 2017",9.8081,9.7813,9.8264,9.7733,0,0.30%
"Dec 29, 2017",9.8115,9.8062,9.8369,9.7978,0,0.03%
"Jan 01, 2018",9.7869,9.8138,9.8153,9.78,0,-0.25%
"Jan 02, 2018",9.7731,9.8013,9.8149,9.7696,0,-0.14%
"Jan 03, 2018",9.7655,9.7641,9.7792,9.7505,0,-0.08%
"Jan 04, 2018",9.7638,9.7697,9.7769,9.738,0,-0.02%
"Jan 05, 2018",9.7615,9.7805,9.7864,9.7606,0,-0.02%
"Jan 08, 2018",9.7658,9.7836,9.7836,9.7507,0,0.04%
"Jan 09, 2018",9.7509,9.7599,9.7769,9.7448,0,-0.15%
"Jan 10, 2018",9.777,9.7415,9.7923,9.7415,0,0.27%
"Jan 11, 2018",9.8047,9.7617,9.811,9.7617,0,0.28%
"Jan 12, 2018",9.8453,9.8064,9.8611,9.7916,0,0.41%
"Jan 15, 2018",9.867,9.8523,9.8981,9.8463,0,0.22%
"Jan 16, 2018",9.9348,9.8778,9.9633,9.8625,0,0.69%
"Jan 17, 2018",9.9288,9.9531,9.9746,9.9104,0,-0.06%
"Jan 18, 2018",9.9482,9.9326,9.9502,9.9149,0,0.20%
"Jan 19, 2018",9.9672,9.9857,9.9944,9.95,0,0.19%
"Jan 22, 2018",9.9746,9.9569,9.9898,9.9523,0,0.07%
"Jan 23, 2018",9.9551,9.9933,10.0009,9.9465,0,-0.20%
"Jan 24, 2018",9.9937,9.9719,10.0155,9.9575,0,0.39%
"Jan 25, 2018",10.0438,10.0165,10.0725,10.0165,0,0.50%
"Jan 26, 2018",10.0615,10.0336,10.0662,10.0252,0,0.18%
"Jan 29, 2018",10.0356,10.0452,10.0651,10.0325,0,-0.26%
"Jan 30, 2018",10.0712,10.0381,10.0808,10.0379,0,0.35%
"Jan 31, 2018",10.1052,10.0707,10.1409,10.0645,0,0.34%
"Feb 01, 2018",10.1564,10.0914,10.1819,10.0913,0,0.51%
"Feb 02, 2018",10.177,10.1915,10.22,10.1615,0,0.20%
"Feb 05, 2018",10.1972,10.1712,10.2098,10.1712,0,0.20%
"Feb 06, 2018",10.2224,10.1775,10.2473,10.1775,0,0.25%
"Feb 07, 2018",10.2529,10.2278,10.2761,10.2262,0,0.30%
"Feb 08, 2018",10.1628,10.2233,10.2401,10.1327,0,-0.88%
"Feb 09, 2018",10.2234,10.1496,10.2305,10.1496,0,0.60%
"Feb 12, 2018",10.1588,10.2256,10.2409,10.1526,0,-0.63%
"Feb 13, 2018",10.1349,10.154,10.1724,10.1266,0,-0.24%
"Feb 14, 2018",10.0974,10.1354,10.1582,10.0906,0,-0.37%
"Feb 15, 2018",10.066,10.0754,10.0785,10.0619,0,-0.31%
"Feb 16, 2018",10.1156,10.062,10.118,10.0526,0,0.49%
"Feb 19, 2018",10.1211,10.1211,10.1211,10.1211,0,0.05%
"Feb 20, 2018",10.2172,10.1621,10.2175,10.1479,0,0.95%
"Feb 21, 2018",10.2085,10.2243,10.2305,10.1939,0,-0.09%
"Feb 22, 2018",10.2322,10.2101,10.2544,10.2052,0,0.23%
"Feb 23, 2018",10.2111,10.2391,10.2602,10.2111,0,-0.21%
"Feb 26, 2018",10.2548,10.2411,10.2836,10.2386,0,0.43%
"Feb 27, 2018",10.2771,10.2742,10.3017,10.2661,0,0.22%
"Feb 28, 2018",10.3001,10.2546,10.3288,10.2515,0,0.22%
"Mar 01, 2018",10.2592,10.3072,10.3072,10.2512,0,-0.40%
"Mar 02, 2018",10.2783,10.2857,10.2953,10.2562,0,0.19%
"Mar 05, 2018",10.2409,10.299,10.3062,10.2409,0,-0.36%
"Mar 06, 2018",10.2865,10.2612,10.2904,10.236,0,0.45%
"Mar 07, 2018",10.2569,10.2904,10.2904,10.2538,0,-0.29%
"Mar 08, 2018",10.2653,10.2515,10.2827,10.2476,0,0.08%
"Mar 09, 2018",10.2842,10.2544,10.3026,10.2529,0,0.18%
"Mar 12, 2018",10.2662,10.2947,10.2979,10.2638,0,-0.18%
"Mar 13, 2018",10.2592,10.2672,10.2906,10.2485,0,-0.07%
"Mar 14, 2018",10.2628,10.2639,10.3044,10.2608,0,0.04%
"Mar 15, 2018",10.2798,10.2795,10.2964,10.2512,0,0.17%
"Mar 16, 2018",10.2589,10.2676,10.2783,10.251,0,-0.20%
"Mar 19, 2018",10.2997,10.2591,10.2997,10.259,0,0.40%
"Mar 20, 2018",10.2951,10.2951,10.316,10.2884,0,-0.04%
"Mar 21, 2018",10.3081,10.2999,10.3136,10.2965,0,0.13%
"Mar 22, 2018",10.277,10.3283,10.3303,10.2753,0,-0.30%
"Mar 23, 2018",10.2897,10.2843,10.3099,10.2792,0,0.12%
"Mar 26, 2018",10.3333,10.3051,10.3531,10.2805,0,0.42%
"Mar 27, 2018",10.3364,10.3669,10.3833,10.3271,0,0.03%
"Mar 28, 2018",10.3463,10.3537,10.3787,10.3395,0,0.10%
"Mar 29, 2018",10.3525,10.3452,10.3701,10.3339,0,0.06%
"Mar 30, 2018",10.3764,10.3583,10.3973,10.3519,0,0.23%
"Apr 02, 2018",10.3703,10.3917,10.3925,10.3634,0,-0.06%
"Apr 03, 2018",10.334,10.3644,10.3704,10.334,0,-0.35%
"Apr 04, 2018",10.3161,10.3301,10.3421,10.3133,0,-0.17%
"Apr 05, 2018",10.2915,10.3153,10.3311,10.2915,0,-0.24%
"Apr 06, 2018",10.2979,10.2987,10.3162,10.2963,0,0.06%
"Apr 09, 2018",10.2989,10.3013,10.3193,10.2882,0,0.01%
"Apr 10, 2018",10.337,10.3039,10.3511,10.3021,0,0.37%
"Apr 11, 2018",10.41,10.3424,10.41,10.3338,0,0.71%
"Apr 12, 2018",10.3775,10.4078,10.4337,10.3719,0,-0.31%
"Apr 13, 2018",10.3992,10.3831,10.4039,10.3669,0,0.21%
"Apr 16, 2018",10.4309,10.3895,10.4326,10.3875,0,0.30%
"Apr 17, 2018",10.4543,10.4302,10.4683,10.4162,0,0.22%
"Apr 18, 2018",10.4743,10.4482,10.4743,10.4379,0,0.19%
"Apr 19, 2018",10.4903,10.4696,10.5132,10.4673,0,0.15%
"Apr 20, 2018",10.5154,10.4782,10.5191,10.4774,0,0.24%
"Apr 23, 2018",10.5318,10.521,10.5421,10.5101,0,0.16%
"Apr 24, 2018",10.5304,10.5283,10.5436,10.5084,0,-0.01%
"Apr 25, 2018",10.5776,10.5302,10.596,10.5301,0,0.45%
"Apr 26, 2018",10.5428,10.582,10.5878,10.5426,0,-0.33%
"Apr 27, 2018",10.5191,10.5404,10.5514,10.5122,0,-0.22%
"Apr 30, 2018",10.4938,10.5159,10.5159,10.4764,0,-0.24%
"May 01, 2018",10.5475,10.4938,10.5491,10.4922,0,0.51%
"May 02, 2018",10.4818,10.516,10.516,10.4749,0,-0.62%
"May 03, 2018",10.4931,10.4739,10.5078,10.4555,0,0.11%
"May 04, 2018",10.5018,10.5079,10.5253,10.4975,0,0.08%
"May 07, 2018",10.5454,10.5224,10.5629,10.5174,0,0.42%
"May 08, 2018",10.5374,10.5473,10.5716,10.5261,0,-0.08%
"May 09, 2018",10.5857,10.5419,10.5857,10.5398,0,0.46%
"May 10, 2018",10.5911,10.5817,10.6086,10.5704,0,0.05%
"May 11, 2018",10.6346,10.6041,10.6365,10.5739,0,0.41%
"May 14, 2018",10.6575,10.6481,10.6729,10.6092,0,0.22%
"May 15, 2018",10.6746,10.6574,10.7139,10.6237,0,0.16%
"May 16, 2018",10.6372,10.6722,10.6971,10.628,0,-0.35%
"May 17, 2018",10.6429,10.6381,10.6667,10.6283,0,0.05%
"May 18, 2018",10.6568,10.6417,10.6858,10.6387,0,0.13%
"May 21, 2018",10.6705,10.6597,10.6847,10.6489,0,0.13%
"May 22, 2018",10.6824,10.6872,10.6937,10.6574,0,0.11%
"May 23, 2018",10.702,10.6751,10.7201,10.6684,0,0.18%
"May 24, 2018",10.7144,10.7017,10.7264,10.6876,0,0.12%
"May 25, 2018",10.5965,10.711,10.711,10.5965,0,-1.10%
"May 28, 2018",10.5325,10.6006,10.6041,10.52,0,-0.60%
"May 29, 2018",10.5709,10.5189,10.5991,10.5046,0,0.36%
"May 30, 2018",10.5063,10.5637,10.5669,10.4972,0,-0.61%
"May 31, 2018",10.519,10.5037,10.5505,10.5035,0,0.12%
"Jun 01, 2018",10.4347,10.5203,10.5266,10.4318,0,-0.80%
"Jun 04, 2018",10.4634,10.4444,10.4954,10.4207,0,0.28%
"Jun 05, 2018",10.4744,10.4648,10.5053,10.4608,0,0.11%
"Jun 06, 2018",10.4627,10.4758,10.507,10.4625,0,-0.11%
"Jun 07, 2018",10.5473,10.4649,10.5535,10.4596,0,0.81%
"Jun 08, 2018",10.5406,10.5432,10.5799,10.5313,0,-0.06%
"Jun 11, 2018",10.5393,10.5414,10.546,10.5022,0,-0.01%
"Jun 12, 2018",10.5392,10.5337,10.5465,10.5226,0,0.00%
"Jun 13, 2018",10.5723,10.53,10.5755,10.53,0,0.31%
"Jun 14, 2018",10.5737,10.5802,10.6006,10.5567,0,0.01%
"Jun 15, 2018",10.5694,10.5372,10.6051,10.5372,0,-0.04%
