Count,Date,Close,CUP,DecisionTree,DUP,LinearSVR,LUP,RandomForest,RUP,Lasso,laUP,Ridge,riUP,Bay,BUP,GradientBoost,GUP,SGD,SUP,ES,EUP,ES_V,EvUP,LSTM,LUP,GRU,GrUP
11,01-Aug-19,10980,0,10980,0,11084.9023,0,11036.2703,0,11082.4407,0,11086.7403,0,11086.665,0,11030.2652,0,11082.4407,0,11015.5118,0,11084.6019,0,11411.39077,0,11424.48912,1
12,02-Aug-19,10997.35,1,10997.35,1,10989.8033,0,10957.9814,0,10977.5617,0,10982.5447,0,10981.9545,0,10949.5637,0,10977.5617,0,10968.2984,0,10983.0393,0,11358.92113,0,11473.58949,1
13,05-Aug-19,10862.6,0,10862.6,0,11009.0074,1,10952.5655,0,10994.7147,1,10999.7999,1,10999.1041,1,10923.6277,0,10994.7147,1,10912.9311,0,11000.8719,1,11343.61804,0,11444.5064,0
14,06-Aug-19,10948.25,1,10948.25,1,10902.5653,0,10879.0844,0,10860.7147,0,10868.0235,0,10865.8536,0,10886.249,0,10860.7147,0,10904.5278,0,10876.2834,0,11331.21813,0,11469.53157,1
15,07-Aug-19,10855.5,0,10855.5,0,10981.0358,1,10946.5248,1,10945.9159,1,10952.687,1,10950.8686,1,10940.2492,1,10945.9159,1,10914.0913,1,10959.1757,1,11290.5674,0,11483.92521,1
16,08-Aug-19,11032.45,1,11032.45,1,10892.5695,0,10863.4686,0,10853.3859,0,10860.3923,0,10858.3901,0,10938.2162,0,10853.3859,0,10944.7116,1,10868.0366,0,11322.12383,1,11564.14633,1
17,09-Aug-19,11109.65,1,11109.65,1,11055.2081,1,11008.7536,1,11029.4166,1,11035.8618,1,11034.5799,1,11060.9501,1,11029.4166,1,11059.7846,1,11039.6636,1,11290.74768,0,11561.8039,0
18,13-Aug-19,10925.85,0,10925.85,0,11133.7934,1,11033.0553,1,11106.3618,1,11113.0104,1,11111.6169,1,11034.2035,0,11106.3618,1,10997.7029,0,11117.1652,1,11328.2072,1,11496.19379,0
19,14-Aug-19,11029.4,1,11029.4,1,10986.5949,0,10941.226,0,10923.7365,0,10933.4913,0,10930.2,0,10985.7524,0,10923.7365,0,10985.4595,0,10946.722,0,11388.22646,1,11399.79126,0
20,16-Aug-19,11047.8,1,11047.8,1,11075.8581,1,11006.0506,1,11026.7224,1,11035.3472,1,11032.7836,1,11056.401,1,11026.7224,1,11036.7505,1,11045.0048,1,11531.5873,1,11334.10785,0
