Date,Close,USD,CRUDE,GOLD,Up-Down
21-Jan-16,7276.8,67.79900037,1971.538552,2633.096442,0
22-Jan-16,7422.45,67.54900072,2122.229058,2617.999796,1
25-Jan-16,7436.15,67.75500171,2144.235846,2635.96297,1
27-Jan-16,7437.75,68.14400136,2142.420115,2674.705047,1
28-Jan-16,7424.65,68.05300158,2266.028143,2675.921788,0
29-Jan-16,7563.55,67.87799934,2298.594158,2661.818608,1
01-Feb-16,7555.95,67.83499788,2223.19078,2684.765566,0
02-Feb-16,7455.55,67.97499961,2094.783032,2696.079092,0
03-Feb-16,7361.8,67.93399804,2104.858986,2713.188811,0
04-Feb-16,7404,67.54400019,2217.386314,2732.501742,1
05-Feb-16,7489.1,67.81000207,2163.663881,2744.22204,1
08-Feb-16,7387.25,68.0340004,2081.865024,2805.844012,0
09-Feb-16,7298.2,67.90099817,2038.238088,2836.557554,0
10-Feb-16,7215.7,67.86100221,1934.222753,2820.26189,0
11-Feb-16,6976.35,68.47100079,1854.077791,2937.211235,0
12-Feb-16,6980.95,68.11799781,1940.911717,2953.363438,1
15-Feb-16,7162.95,68.13100175,2041.45009,2879.47939,1
16-Feb-16,7048.25,68.47400141,2069.609012,2881.860991,0
17-Feb-16,7108.45,68.32900196,2071.865225,2888.103325,1
18-Feb-16,7191.75,68.5419986,2170.342399,2896.963692,1
19-Feb-16,7210.75,68.54500075,2127.523793,2946.92297,1
22-Feb-16,7234.55,68.5329984,2296.153399,2898.517119,1
23-Feb-16,7109.55,68.5609979,2262.127163,2924.344289,0
24-Feb-16,7018.7,68.43100034,2167.478301,2959.420427,0
25-Feb-16,6970.6,68.76800131,2208.712256,2962.989301,0
26-Feb-16,7029.75,68.73700226,2334.160178,2949.678485,1
29-Feb-16,6987.05,68.2079992,2283.960505,2958.562375,0
01-Mar-16,7222.3,67.7530002,2333.139001,2955.632993,1
02-Mar-16,7368.85,67.39499994,2326.405283,2922.088358,1
03-Mar-16,7475.6,67.12199994,2349.019427,2942.985541,1
04-Mar-16,7485.35,66.93800209,2368.617642,2980.021933,1
08-Mar-16,7485.3,67.31300162,2536.735694,3000.066001,0
09-Mar-16,7531.8,67.12800162,2526.836523,2955.353475,1
10-Mar-16,7486.15,67.30200205,2555.26358,2949.800299,0
11-Mar-16,7510.2,66.92100217,2603.365329,2971.494454,1
14-Mar-16,7538.75,67.13799779,2525.954557,2941.072668,1
15-Mar-16,7460.6,67.37200212,2467.007209,2905.751936,0
16-Mar-16,7498.75,67.17299882,2534.064194,2904.123274,1
17-Mar-16,7512.55,66.61899855,2646.543347,2948.13059,1
18-Mar-16,7604.35,66.38399917,2729.896748,2923.891114,1
21-Mar-16,7704.25,66.49999993,2750.425529,2896.678379,1
22-Mar-16,7714.9,66.75500133,2770.408198,2915.400897,1
23-Mar-16,7716.5,66.93000052,2731.048035,2874.504867,1
28-Mar-16,7615.1,66.60799834,2654.666726,2846.326815,0
29-Mar-16,7597,66.37500163,2586.353109,2857.542913,0
30-Mar-16,7735.2,66.37500163,2597.901551,2866.882065,1
31-Mar-16,7738.4,66.25499786,2552.236677,2863.549025,1
01-Apr-16,7713.05,66.36499793,2501.867664,2860.297357,0
04-Apr-16,7758.8,66.10599965,2438.993447,2838.127404,1
05-Apr-16,7603.2,66.42199902,2380.255784,2875.347917,0
06-Apr-16,7614.35,66.51699898,2487.833694,2870.643081,1
07-Apr-16,7546.45,66.75699779,2507.388807,2893.995827,0
08-Apr-16,7555.2,66.55100103,2608.952059,2898.105508,1
11-Apr-16,7671.4,66.28700124,2667.577006,2927.391899,1
12-Apr-16,7708.95,66.28299858,2731.64143,2936.848937,1
13-Apr-16,7850.45,66.49599804,2784.894631,2916.991182,1
18-Apr-16,7914.7,66.4159994,2630.240863,2906.824643,1
20-Apr-16,7914.75,66.16600176,2824.415885,2929.312754,1
21-Apr-16,7912.05,66.4889992,2927.268102,2948.704339,0
22-Apr-16,7899.3,66.66000067,2931.903878,2927.271929,0
25-Apr-16,7855.05,66.6850006,2906.646334,2918.617276,0
26-Apr-16,7962.65,66.40399901,2900.024357,2915.511395,1
27-Apr-16,7979.9,66.36199873,2980.562481,2934.194813,1
28-Apr-16,7847.25,66.40100069,3032.827645,2954.977956,0
29-Apr-16,7849.8,66.42499923,3076.558087,3008.505044,1
02-May-16,7805.9,66.34599876,3022.667679,3037.814718,0
03-May-16,7747,66.55799964,2949.752462,3029.853143,0
04-May-16,7706.55,66.62700139,2939.726609,3012.411134,0
05-May-16,7735.5,66.55799964,3008.505836,3005.475977,1
06-May-16,7733.45,66.60000007,2957.707831,3024.099045,0
09-May-16,7866.05,66.75199797,2977.082995,2998.599654,1
10-May-16,7887.8,66.63100131,2932.897817,2976.739756,1
11-May-16,7848.85,66.56099886,3006.052738,2998.186097,0
12-May-16,7900.4,66.75699779,3096.854727,2989.116626,1
13-May-16,7814.9,66.85500166,3090.012465,2994.675467,0
16-May-16,7860.75,66.84399934,3168.32017,3013.445996,1
17-May-16,7890.75,66.82500183,3212.958326,3001.623879,1
18-May-16,7870.15,67.13999918,3255.001627,3001.281547,0
19-May-16,7783.4,67.43599902,3210.43646,2974.375753,0
20-May-16,7749.7,67.4080019,3294.556548,2978.096103,0
23-May-16,7731.05,67.40900156,3243.880801,2967.130132,0
24-May-16,7748.85,67.63000194,3283.762436,2951.576437,1
25-May-16,7934.9,67.2729982,3322.875799,2903.263268,1
26-May-16,8069.65,66.92699931,3346.270779,2897.257456,1
27-May-16,8156.65,67.03099802,3298.686067,2871.838465,1
30-May-16,8178.5,67.17099997,3338.470379,2859.307762,1
31-May-16,8160.1,67.20899848,3345.526213,2878.799656,0
01-Jun-16,8179.95,67.43399813,3283.30123,2899.029695,1
02-Jun-16,8218.95,67.26800225,3292.841806,2893.049737,1
03-Jun-16,8220.8,67.0000006,3286.011315,2920.441337,1
06-Jun-16,8201.05,66.79000108,3312.244831,2943.340692,0
07-Jun-16,8266.45,66.65800113,3342.177584,2931.820514,1
08-Jun-16,8273.05,66.49999993,3394.15096,2957.013889,1
09-Jun-16,8203.6,66.75300055,3393.021172,2977.360153,0
10-Jun-16,8170.05,66.95199823,3328.116206,2996.55097,0
13-Jun-16,8110.6,67.18699862,3271.693364,3036.661616,0
14-Jun-16,8108.85,67.29199774,3255.365394,3044.297574,0
15-Jun-16,8206.6,67.07900129,3233.522599,3042.324823,1
16-Jun-16,8140.75,67.31499987,3162.843079,3097.423254,0
17-Jun-16,8170.2,67.07399811,3171.20116,3047.229002,1
20-Jun-16,8238.5,67.55099932,3315.674084,3052.885129,1
21-Jun-16,8219.9,67.62400162,3350.530829,3041.408781,0
22-Jun-16,8203.7,67.44899861,3371.986743,3015.326907,0
23-Jun-16,8270.45,67.27899976,3351.214402,2999.544069,1
24-Jun-16,8088.6,67.88499874,3261.986622,3153.877693,0
27-Jun-16,8094.7,67.91399779,3202.340067,3160.056881,1
28-Jun-16,8127.85,67.71499868,3224.757616,3129.616184,1
29-Jun-16,8204,67.42199983,3299.586321,3135.43512,1
30-Jun-16,8287.75,67.50399978,3319.562287,3121.761173,1
01-Jul-16,8328.35,67.19000062,3264.377474,3151.164513,1
04-Jul-16,8370.7,67.26499779,3303.380649,3180.176055,1
05-Jul-16,8335.95,67.43399813,3203.858325,3177.932437,0
07-Jul-16,8337.9,67.49500132,3172.985348,3198.198774,1
08-Jul-16,8323.2,67.13899847,3064.731005,3168.457373,0
11-Jul-16,8467.9,67.13799779,3035.085169,3170.265446,1
12-Jul-16,8521.05,66.97500171,3083.017239,3137.688026,1
13-Jul-16,8519.5,67.01599873,3071.893024,3124.921877,0
14-Jul-16,8565,66.8429985,3042.70089,3095.36191,1
15-Jul-16,8541.4,67.14099993,3072.061717,3099.958151,0
18-Jul-16,8508.7,67.13700165,3059.969549,3101.592668,0
19-Jul-16,8528.55,67.20399848,3051.623625,3106.159203,1
20-Jul-16,8565.85,67.16300125,3073.290677,3090.215759,1
21-Jul-16,8510.1,67.15300214,3073.907634,3086.372124,0
22-Jul-16,8541.2,67.15399876,2999.887958,3090.779278,1
25-Jul-16,8635.65,67.41200071,2956.051118,3082.148504,1
26-Jul-16,8590.65,67.32099986,2905.686197,3090.932132,0
27-Jul-16,8615.8,67.07200065,2875.029535,3092.624092,1
28-Jul-16,8666.3,67.01400023,2812.993,3126.573057,1
29-Jul-16,8638.5,66.65500204,2760.595093,3132.871339,0
01-Aug-16,8636.55,66.76399968,2744.45917,3151.432641,0
02-Aug-16,8622.9,66.68199908,2693.466011,3170.969143,0
03-Aug-16,8544.85,66.76699966,2692.12617,3181.70393,0
04-Aug-16,8551.1,66.84000061,2759.752239,3172.347283,1
05-Aug-16,8683.15,66.84200215,2790.107023,3150.290929,1
08-Aug-16,8711.35,66.81000084,2857.148506,3113.35411,1
09-Aug-16,8678.25,66.77399919,2882.96295,3117.275003,0
10-Aug-16,8575.3,66.76499816,2845.546347,3146.088625,0
11-Aug-16,8592.15,66.75000182,2836.97088,3137.520668,1
12-Aug-16,8672.15,66.90799936,2940.281313,3133.283619,1
16-Aug-16,8642.55,66.87000051,3077.238598,3142.341799,0
17-Aug-16,8624.05,66.89300137,3108.707221,3136.428361,0
18-Aug-16,8673.25,66.82999918,3181.034299,3145.930267,1
19-Aug-16,8666.9,67.13700165,3253.684469,3142.282554,0
22-Aug-16,8629.15,67.20199778,3236.915253,3130.096188,0
23-Aug-16,8632.6,67.12199994,3190.824925,3136.172615,1
24-Aug-16,8650.3,67.16699811,3175.398024,3120.61164,1
25-Aug-16,8592.2,67.01599873,3153.983373,3096.943626,0
26-Aug-16,8572.55,67.13600102,3195.202672,3108.061067,0
29-Aug-16,8607.45,67.11299943,3163.293467,3099.218377,1
30-Aug-16,8744.35,67.14399782,3157.192217,3094.40408,1
31-Aug-16,8786.2,66.97300117,3062.756367,3077.245004,1
01-Sep-16,8774.65,66.80099902,2969.707996,3073.745297,0
02-Sep-16,8809.65,66.79500213,2941.183762,3087.229674,1
06-Sep-16,8943,66.279998,2973.379049,3111.571624,1
07-Sep-16,8917.95,66.4780021,3000.435533,3135.572759,0
08-Sep-16,8952.5,66.63100131,3107.423967,3130.203964,1
09-Sep-16,8866.7,66.89500161,3120.435439,3121.85863,0
12-Sep-16,8715.6,66.73800069,3052.35503,3110.565034,0
14-Sep-16,8726.6,66.79800044,2982.109183,3105.320034,1
15-Sep-16,8742.55,66.85999904,2939.213137,3098.747796,1
16-Sep-16,8779.85,67.07500139,2904.470387,3086.838953,1
19-Sep-16,8808.4,66.9799991,2944.304847,3092.604963,1
20-Sep-16,8775.9,66.98500172,2947.092127,3095.227778,0
21-Sep-16,8777.15,66.74400072,3036.989932,3111.629716,1
22-Sep-16,8867.45,66.63299923,3090.754879,3127.795467,1
23-Sep-16,8831.55,66.70700217,3057.579135,3128.656617,0
26-Sep-16,8723.05,66.61299879,3034.315629,3130.223561,0
27-Sep-16,8706.4,66.42499923,3005.208887,3112.142959,0
28-Sep-16,8745.15,66.34900092,3018.27342,3097.250571,1
29-Sep-16,8591.25,66.81200058,3170.813083,3109.878217,0
30-Sep-16,8611.15,66.55600178,3191.340202,3112.259189,1
03-Oct-16,8738.1,66.54600102,3227.441849,3090.760172,1
04-Oct-16,8769.15,66.60900103,3248.579678,3047.944162,1
05-Oct-16,8743.95,66.57200128,3308.034029,2997.835563,0
06-Oct-16,8709.55,66.69700046,3341.145458,2976.597987,0
07-Oct-16,8697.6,66.60200056,3354.130998,2963.586414,0
10-Oct-16,8708.8,66.49200105,3364.776532,2971.512113,1
13-Oct-16,8573.35,66.79399829,3351.486101,2979.498074,0
14-Oct-16,8583.4,66.71699797,3377.317964,2963.120996,1
17-Oct-16,8520.4,66.78900186,3344.422507,2967.279806,0
18-Oct-16,8677.9,66.73299927,3352.238906,2977.067648,1
19-Oct-16,8659.1,66.64499816,3433.800514,2988.848606,0
20-Oct-16,8699.4,66.82999918,3422.794632,2996.102071,1
21-Oct-16,8693.05,66.92600046,3399.621756,2990.260721,0
24-Oct-16,8708.95,66.84500021,3377.879307,2981.194624,1
25-Oct-16,8691.3,66.80600172,3378.055576,2986.304806,0
26-Oct-16,8615.25,66.86299872,3314.625711,2991.27147,0
27-Oct-16,8615.25,66.88099797,3323.157023,2990.117661,0
28-Oct-16,8638,66.77799895,3307.779583,2992.273949,1
01-Nov-16,8626.25,66.69599957,3138.772057,3017.811121,0
02-Nov-16,8514,66.76199835,3057.371576,3049.412683,0
03-Nov-16,8484.95,66.66800003,3030.880892,3040.631965,0
04-Nov-16,8433.75,66.79600154,2967.204595,3052.02792,0
07-Nov-16,8497.05,66.7449986,2984.868446,3018.813244,1
08-Nov-16,8543.55,66.24600015,2997.595826,3004.22093,1
09-Nov-16,8432,66.51499917,2984.679158,3060.340738,0
10-Nov-16,8525.75,66.86500163,3012.911534,2999.814012,1
11-Nov-16,8296.3,67.56500192,2972.235684,2966.364394,0
15-Nov-16,8108.45,67.78599879,3038.215894,2931.382205,0
16-Nov-16,8111.6,67.99899824,3112.204784,2937.38379,1
17-Nov-16,8079.95,68.02299994,3123.493994,2928.935244,0
18-Nov-16,8074.1,68.19099917,3098.757264,2890.925385,0
21-Nov-16,7929.1,68.22800079,3252.377958,2907.838952,0
22-Nov-16,8002.3,68.39600026,3308.369747,2916.242596,1
23-Nov-16,8033.3,68.78399864,3305.979969,2895.41193,1
24-Nov-16,7965.5,68.76099832,3311.345176,2870.741972,0
25-Nov-16,8114.3,68.51900018,3241.501429,2853.579959,1
28-Nov-16,8126.9,68.57900126,3205.378476,2874.92633,1
29-Nov-16,8142.15,68.6149987,3162.252365,2863.778641,1
30-Nov-16,8224.5,68.59800226,3293.194843,2846.610399,1
01-Dec-16,8192.9,68.23599912,3452.339338,2806.001476,0
02-Dec-16,8086.8,68.03100118,3481.008549,2808.704738,0
05-Dec-16,8128.75,68.02499892,3543.361374,2796.764703,1
06-Dec-16,8143.15,67.74199864,3466.691809,2793.163453,1
07-Dec-16,8102.05,67.43800003,3425.900251,2791.097515,0
08-Dec-16,8246.85,67.54599849,3391.928896,2783.236013,1
09-Dec-16,8261.75,67.47000048,3470.12741,2767.760024,1
12-Dec-16,8170.8,67.43100156,3611.36541,2754.441537,0
13-Dec-16,8221.8,67.41100096,3576.45522,2755.428194,1
14-Dec-16,8182.45,67.47499916,3533.808768,2761.302009,0
15-Dec-16,8153.6,67.8570006,3452.062885,2709.5131,0
16-Dec-16,8139.45,67.85500227,3483.55398,2711.57027,0
19-Dec-16,8104.35,67.84399978,3549.602948,2722.23659,0
20-Dec-16,8082.4,67.91700054,3639.995605,2710.071166,0
21-Dec-16,8061.3,67.83699963,3627.931708,2709.212134,0
22-Dec-16,7979.1,67.84799985,3589.518741,2695.781103,0
23-Dec-16,7985.75,67.83699963,3584.682837,2696.050017,1
26-Dec-16,7908.25,67.76000139,3612.205362,2696.988004,0
27-Dec-16,8032.85,67.97799851,3647.746035,2721.673503,1
28-Dec-16,8034.85,68.23300069,3693.73265,2727.709161,1
29-Dec-16,8103.6,67.93499952,3673.854214,2744.387727,1
30-Dec-16,8185.8,67.9549983,3659.877163,2754.198776,1
02-Jan-17,8179.5,68.14499975,3677.449128,2752.333979,0
03-Jan-17,8192.25,68.2600007,3697.97925,2760.829353,1
04-Jan-17,8190.5,67.88599877,3594.170583,2772.271738,0
05-Jan-17,8273.8,67.74299905,3631.346528,2788.210331,1
06-Jan-17,8243.8,68.11500046,3673.900144,2788.591315,0
09-Jan-17,8236.05,68.09999913,3618.817166,2794.271743,0
10-Jan-17,8288.6,68.32699908,3546.354702,2811.681976,1
11-Jan-17,8380.65,68.31200223,3533.773109,2821.423634,1
12-Jan-17,8407.2,68.14100172,3601.894497,2842.637285,1
13-Jan-17,8400.35,68.17999902,3598.182095,2834.169886,0
16-Jan-17,8412.8,68.10299979,3573.186495,2853.922002,1
17-Jan-17,8398,67.86200153,3600.722178,2870.049881,0
18-Jan-17,8417,68.21999968,3540.336989,2875.290045,1
19-Jan-17,8435.1,68.09999913,3529.386509,2856.35124,1
20-Jan-17,8349.35,68.07500231,3620.082078,2861.467761,0
23-Jan-17,8391.5,68.05100096,3606.641817,2878.874245,1
24-Jan-17,8475.8,68.13799771,3633.169759,2874.504867,1
25-Jan-17,8602.75,67.98799985,3618.146796,2849.790398,1
27-Jan-17,8641.25,68.10499884,3644.434813,2819.625723,1
01-Feb-17,8716.4,67.41500013,3594.08462,2880.441514,1
02-Feb-17,8734.25,67.21000128,3630.983776,2893.845081,1
03-Feb-17,8740.95,67.18400139,3621.118743,2884.745753,1
06-Feb-17,8801.05,67.19499854,3610.686234,2907.238734,1
07-Feb-17,8768.3,67.34999976,3542.224869,2927.871876,0
08-Feb-17,8769.05,67.05000046,3493.961457,2933.635302,1
09-Feb-17,8778.4,66.76499816,3538.382291,2923.77998,1
10-Feb-17,8793.55,66.85400049,3588.652853,2903.465577,1
13-Feb-17,8805.05,66.97500171,3576.281771,2907.162667,1
14-Feb-17,8792.3,66.83500176,3567.753693,2907.517678,0
15-Feb-17,8724.7,66.87500013,3552.064725,2901.755272,0
16-Feb-17,8778,67.08000021,3568.91201,2931.193171,1
17-Feb-17,8821.7,67.08000021,3576.572525,2938.005153,1
20-Feb-17,8879.2,66.90500012,3627.30339,2925.148378,1
21-Feb-17,8907.85,66.98500172,3662.97902,2919.111422,1
22-Feb-17,8926.9,66.94999906,3621.877096,2925.38798,1
23-Feb-17,8939.5,66.68999927,3641.367688,2935.236932,1
27-Feb-17,8896.7,66.69999888,3634.601844,2964.060763,0
28-Feb-17,8879.6,66.72500211,3592.484982,2956.541792,0
01-Mar-17,8945.8,66.86500163,3622.865835,2937.789372,1
02-Mar-17,8899.75,66.78500078,3560.20501,2929.304173,0
03-Mar-17,8897.55,66.78000123,3541.733497,2906.520488,0
06-Mar-17,8963.45,66.67500104,3551.590376,2906.841542,1
07-Mar-17,8946.9,66.62499939,3563.942161,2884.795684,0
08-Mar-17,8924.3,66.76499816,3496.306269,2867.342404,0
09-Mar-17,8927,66.68999927,3318.698555,2850.107164,1
10-Mar-17,8934.55,66.55500069,3291.315258,2833.61575,1
14-Mar-17,9087,65.77499886,3160.424245,2815.949538,1
15-Mar-17,9084.8,65.63000142,3190.264235,2797.327992,0
16-Mar-17,9153.7,65.38499864,3209.905278,2843.809453,1
17-Mar-17,9160.05,65.47499984,3204.661692,2849.18143,1
20-Mar-17,9126.85,65.34499872,3176.089657,2854.101201,0
21-Mar-17,9121.5,65.34499872,3205.268295,2858.147292,0
22-Mar-17,9030.45,65.45499864,3140.510812,2886.744359,0
23-Mar-17,9086.3,65.45499864,3157.863772,2885.536537,1
24-Mar-17,9108,65.42500048,3144.123867,2877.888321,1
27-Mar-17,9045.2,64.99499961,3106.327662,2888.053279,0
28-Mar-17,9100.8,65.04499943,3154.27885,2883.789068,1
29-Mar-17,9143.8,64.87500079,3184.30553,2869.671021,1
30-Mar-17,9173.75,64.86000001,3246.229996,2867.103996,1
31-Mar-17,9173.75,64.86000001,3267.954846,2858.220815,0
03-Apr-17,9237.85,64.98500211,3288.420182,2877.813782,1
05-Apr-17,9265.15,64.87500079,3346.54703,2887.261115,1
06-Apr-17,9261.95,64.60599806,3333.358912,2881.537127,0
07-Apr-17,9198.3,64.26999981,3363.390684,2885.902941,0
10-Apr-17,9181.45,64.6050005,3407.398225,2871.022199,0
11-Apr-17,9237,64.55499947,3428.392682,2897.450533,1
12-Apr-17,9203.45,64.68999906,3458.863806,2923.762883,0
13-Apr-17,9150.8,64.44499839,3424.426063,2935.323091,0
17-Apr-17,9139.3,64.47999943,3409.573558,2943.028848,0
18-Apr-17,9105.15,64.6050005,3393.026819,2937.694439,0
19-Apr-17,9103.5,64.66500038,3373.272182,2931.511106,0
20-Apr-17,9136.4,64.62000047,3309.283767,2926.012839,1
21-Apr-17,9119.4,64.65000041,3255.774644,2932.912558,0
24-Apr-17,9217.95,64.49000018,3211.87033,2907.619125,1
25-Apr-17,9306.6,64.32999952,3176.887791,2891.360038,1
26-Apr-17,9351.85,64.13000023,3189.518425,2872.721214,1
27-Apr-17,9342.15,64.11500077,3142.274224,2877.275565,0
28-Apr-17,9304.05,64.2899983,3181.486954,2885.045367,0
02-May-17,9313.8,64.16500158,3133.194084,2860.084659,1
03-May-17,9311.95,64.16500158,3074.74288,2852.220739,0
04-May-17,9359.9,64.21499798,3004.703634,2815.901962,1
05-May-17,9285.3,64.3150015,2937.087142,2816.322277,0
08-May-17,9314.05,64.35999998,2982.448749,2812.820837,1
09-May-17,9316.85,64.67999894,2993.860934,2807.584972,1
10-May-17,9407.3,64.61499832,3033.345759,2806.859966,1
11-May-17,9422.4,64.40499924,3091.192602,2800.01456,1
12-May-17,9400.9,64.24300095,3072.344123,2804.96254,0
15-May-17,9445.4,64.06499984,3152.06737,2806.844209,1
16-May-17,9512.25,64.0450016,3142.739087,2809.572776,1
17-May-17,9525.75,64.13000023,3141.467067,2841.231958,1
18-May-17,9429.45,64.88000119,3170.682817,2881.371072,0
19-May-17,9427.9,64.56499849,3255.832851,2865.970045,0
22-May-17,9438.25,64.5099985,3310.672668,2870.35469,1
23-May-17,9386.15,64.89499859,3318.062666,2886.97771,0
24-May-17,9360.55,64.76999817,3345.014349,2870.297018,0
25-May-17,9509.75,64.55499947,3267.33221,2871.079899,1
26-May-17,9595.1,64.5099985,3171.03595,2883.157172,1
29-May-17,9604.9,64.5400005,3230.090129,2889.714063,1
30-May-17,9624.55,64.63499905,3203.989265,2888.403637,1
31-May-17,9621.25,64.5099985,3139.232413,2883.922134,0
01-Jun-17,9616.1,64.47799966,3145.859222,2891.870086,0
02-Jun-17,9653.5,64.41500164,3062.817494,2896.678379,1
05-Jun-17,9675.1,64.3499981,3065.66235,2923.027906,1
06-Jun-17,9637.15,64.43000067,3061.711628,2946.870865,0
07-Jun-17,9663.9,64.43499913,3030.468227,2947.722148,1
08-Jun-17,9647.25,64.25000138,2948.068676,2922.780148,0
09-Jun-17,9668.25,64.24499856,2947.335139,2901.064981,1
12-Jun-17,9616.4,64.47999943,2986.295484,2898.87002,0
13-Jun-17,9606.9,64.34500039,2974.289412,2890.064824,0
14-Jun-17,9618.15,64.23499938,2925.658928,2898.626341,1
15-Jun-17,9578.05,64.56499849,2878.991507,2879.26383,0
16-Jun-17,9588.05,64.46500205,2886.266919,2873.860514,1
19-Jun-17,9657.55,64.49499964,2887.674797,2859.430401,1
20-Jun-17,9653.5,64.5400005,2831.443107,2853.734683,0
21-Jun-17,9633.6,64.5300009,2808.207121,2856.79188,0
22-Jun-17,9630,64.6050005,2775.535006,2868.543268,0
23-Jun-17,9574.95,64.50500088,2778.660865,2874.521392,0
27-Jun-17,9511.4,64.47499814,2844.526288,2857.379611,0
28-Jun-17,9491.25,64.52500018,2872.217217,2864.22978,0
29-Jun-17,9504.1,64.65999962,2923.783943,2853.930147,1
30-Jun-17,9520.9,64.62000047,2944.113363,2848.337425,1
03-Jul-17,9615,64.84500196,3017.284629,2825.936445,1
04-Jul-17,9613.3,64.78999845,3055.606887,2813.913112,0
05-Jul-17,9637.6,64.79999902,2997.862049,2810.575634,1
06-Jul-17,9674.55,64.72499869,2977.477065,2813.453937,1
07-Jul-17,9665.8,64.62499922,2876.34003,2793.218067,0
10-Jul-17,9771.05,64.47499814,2858.254766,2770.604989,1
11-Jul-17,9786.05,64.56499849,2877.274932,2775.64978,1
12-Jul-17,9816.1,64.47499814,2955.91295,2789.781588,1
13-Jul-17,9891.7,64.45999893,2941.695527,2788.272526,1
14-Jul-17,9886.35,64.42399856,2983.932444,2792.180777,0
17-Jul-17,9915.95,64.34500039,2994.242485,2808.468093,1
18-Jul-17,9827.15,64.31599839,2983.188789,2821.447515,0
19-Jul-17,9899.6,64.26999981,3012.614831,2822.299553,1
20-Jul-17,9873.3,64.37499827,3056.741491,2824.571513,0
21-Jul-17,9915.25,64.38499963,3000.454616,2842.459523,1
24-Jul-17,9966.4,64.39499996,2975.170046,2855.975987,1
25-Jul-17,9964.55,64.38499963,3050.099838,2849.60362,0
26-Jul-17,10020.65,64.35500072,3125.655532,2836.710437,1
27-Jul-17,10020.55,64.12499963,3136.781217,2854.907872,0
28-Jul-17,10014.5,64.11500077,3173.387956,2860.043759,0
01-Aug-17,10114.65,64.09500007,3178.980223,2870.989228,1
02-Aug-17,10081.5,63.63500185,3132.143755,2858.841826,0
03-Aug-17,10013.65,63.70499998,3161.161286,2847.737188,0
04-Aug-17,10066.4,63.67499873,3126.537954,2849.481822,1
07-Aug-17,10057.4,63.84000163,3134.395701,2841.159307,0
08-Aug-17,9978.55,63.69199976,3147.433048,2843.000958,0
09-Aug-17,9908.05,63.85999845,3153.933694,2871.434396,0
