Date,USD,Euro,GBP,JPY,CNY,HKD,SGD,NIKK,SPF,STI,HSI,SSE,FTSE,CRUDE,GOLD,Maxc,Minc,Avgc,PLR,Conf,Close
20-Nov-15,66.06,70.33,100.35,0.54,10.35,8.52,46.75,19859.81,2089.17,2917.91,22754.72,3630.5,6334.6,2793.1,2535.82,7906.95,7817.8,7826.98,0.00176,0,7856.55
23-Nov-15,66.4,70.62,100.42,0.54,10.39,8.57,46.85,19879.81,2086.59,2903.49,22665.9,3610.31,6305.5,2781.4,2516.42,7877.5,7825.2,7832.98,-0.00093,0,7849.25
24-Nov-15,66.26,70.51,99.97,0.54,10.37,8.55,46.98,19924.89,2089.14,2923.49,22587.63,3616.11,6277.2,2850.85,2527.46,7870.35,7812.65,7829.48,-0.00225,0,7831.6
27-Nov-15,66.91,70.88,100.61,0.54,10.46,8.63,47.33,19883.94,2090.11,2859.12,22068.32,3436.3,6375.2,2836.64,2516.96,7959.3,7879.45,7875.45,0.01409,0,7942.7
30-Nov-15,66.46,70.21,100.07,0.54,10.39,8.57,47.11,19747.47,2080.41,2855.94,21996.42,3445.41,6356.1,2822.84,2507.91,7966,7922.8,7932.48,-0.00094,0,7935.25
01-Dec-15,66.43,70.63,100.19,0.54,10.38,8.57,47.25,20012.4,2102.63,2870.26,22381.35,3456.31,6395.7,2794.36,2533.49,7972.15,7934.15,7939.45,0.00247,0,7954.9
02-Dec-15,66.59,70.69,99.56,0.54,10.41,8.59,47.17,19938.13,2079.51,2883.64,22479.69,3536.91,6420.9,2758.77,2519.37,7979.3,7910.8,7924.18,-0.00296,0,7931.35
03-Dec-15,66.79,73.05,101.15,0.54,10.44,8.62,47.89,19939.9,2049.62,2883.89,22417.01,3584.82,6275,2734.01,2507.41,7912.3,7853.3,7842.25,-0.00851,0,7864.15
04-Dec-15,66.64,72.55,100.71,0.54,10.41,8.6,47.68,19504.48,2091.69,2879.05,22235.89,3524.99,6238.3,2740.66,2545.18,7821.4,7775.7,7788.33,-0.01051,0,7781.9
07-Dec-15,66.77,72.35,100.51,0.54,10.42,8.62,47.48,19698.15,2077.07,2900.92,22203.22,3536.93,6223.5,2604.18,2562.88,7825.4,7746.05,7710.5,-0.00212,0,7765.4
08-Dec-15,66.86,72.83,100.34,0.54,10.42,8.63,47.46,19492.6,2063.59,2876.03,21905.13,3470.07,6135.2,2529.23,2548.36,7771.25,7685.45,7659.78,-0.00824,0,7701.7
09-Dec-15,66.86,73.71,101.49,0.55,10.4,8.63,47.6,19301.07,2047.62,2861.19,21803.76,3472.44,6126.7,2554.12,2558.87,7702.85,7606.9,7597.6,-0.01165,0,7612.5
10-Dec-15,66.76,73.04,101.2,0.55,10.37,8.61,47.56,19046.55,2052.23,2848.46,21704.61,3455.5,6088.1,2487.56,2546.33,7691.95,7610,7600.48,0.00926,0,7683.3
11-Dec-15,67.15,73.79,102.18,0.56,10.4,8.66,47.52,19230.48,2012.37,2834.63,21464.05,3434.58,5952.8,2439.12,2546.4,7703.05,7575.3,7590.05,-0.00953,0,7610.45
14-Dec-15,67.09,73.75,101.59,0.55,10.39,8.66,47.62,18883.42,2021.94,2815.04,21309.85,3520.67,5874.1,2402.59,2548.29,7663.95,7551.05,7506.9,0.00519,0,7650.05
15-Dec-15,66.86,73.06,100.56,0.55,10.35,8.63,47.54,18565.9,2043.41,2815.52,21274.37,3510.35,6017.8,2479.75,2530.19,7705,7625.1,7548,0.00663,0,7700.9
16-Dec-15,66.48,72.54,99.74,0.54,10.27,8.58,47.25,19049.91,2073.07,2840.92,21701.21,3516.19,6061.2,2455.64,2535.64,7776.6,7715.75,7557.23,0.00647,0,7750.9
17-Dec-15,66.42,71.9,98.97,0.54,10.24,8.57,46.82,19353.56,2041.89,2861.18,21872.06,3580,6102.5,2359.49,2503.3,7852.9,7737.55,7585.48,0.01198,0,7844.35
18-Dec-15,66.25,72.01,98.68,0.55,10.22,8.55,46.9,18986.8,2005.55,2852.84,21755.56,3578.96,6052.4,2369.85,2499.72,7836.15,7753.35,7620.25,-0.01056,0,7761.95
21-Dec-15,66.25,72.31,98.62,0.55,10.22,8.55,47.04,18916.02,2021.15,2845.55,21791.68,3642.47,6034.8,2390.7,2525.61,7840.75,7733.45,7605.68,0.0093,0,7834.45
22-Dec-15,66.24,72.57,98.21,0.55,10.22,8.55,47.17,18886.7,2038.97,2852.97,21830.02,3651.77,6083.1,2415.42,2531.99,7846.3,7776.85,7622.85,-0.00619,0,7786.1
23-Dec-15,66.04,72.04,98.21,0.55,10.19,8.52,47.02,18789.69,2064.29,2863.65,22040.59,3636.09,6241,2474.52,2515.19,7871.45,7826.1,7700.88,0.0102,0,7865.95
29-Dec-15,66.23,72.31,98.11,0.55,10.21,8.55,46.88,18982.23,2078.36,2888.22,21999.62,3563.74,6314.6,2496.31,2519.95,7942.15,7902.75,7751.6,0.00798,0,7928.95
30-Dec-15,66.48,72.67,98.49,0.55,10.24,8.58,47,19033.71,2063.36,2885.51,21882.15,3572.88,6274.1,2462.83,2509.12,7944.75,7889.85,7733.08,-0.00413,0,7896.25
04-Jan-16,66.58,72.12,97.99,0.56,10.19,8.59,46.75,18450.98,2012.66,2835.97,21327.12,3296.26,6093.4,2504.76,2531.49,7937.55,7781.1,7600.25,-0.01338,0,7791.3
05-Jan-16,66.48,71.45,97.56,0.56,10.19,8.58,46.64,18374,2016.71,2834.23,21188.72,3287.71,6137.2,2445.32,2541.04,7831.2,7763.25,7610.15,-0.00085,0,7784.65
06-Jan-16,66.7,71.91,97.56,0.56,10.17,8.6,46.44,18191.32,1990.26,2804.27,20980.81,3361.84,6073.4,2350.55,2563.48,7800.95,7721.2,7612.18,-0.00562,0,7741
07-Jan-16,66.89,73.15,97.78,0.57,10.15,8.62,46.66,17767.34,1943.09,2729.91,20333.34,3125,5954.1,2229.6,2598.61,7674.95,7556.6,7380.63,-0.02256,0,7568.3
08-Jan-16,66.85,73.07,97.06,0.57,10.13,8.61,46.33,17697.96,1922.03,2751.23,20453.71,3186.41,5912.4,2247.16,2593.81,7634.1,7581.05,7352.38,0.00436,0,7601.35
12-Jan-16,66.95,72.69,96.72,0.57,10.19,8.62,46.55,17218.96,1938.68,2691.78,19711.76,3022.86,5929.2,2091.43,2578.58,7588.3,7487.8,7351.45,-0.01205,0,7510.3
13-Jan-16,66.92,72.79,96.41,0.57,10.18,8.62,46.58,17715.63,1890.28,2696.5,19934.88,2949.6,5961,2080.84,2562.15,7590.95,7425.8,7326.33,0.00691,0,7562.4
14-Jan-16,67.32,73.14,97.03,0.57,10.21,8.65,46.85,17240.95,1921.84,2644.57,19817.41,3007.65,5918.2,2100.12,2586,7604.8,7443.8,7348.1,-0.00339,0,7536.8
19-Jan-16,67.73,73.89,95.87,0.58,10.3,8.66,47.13,17048.37,1881.33,2638.47,19635.81,3007.74,5876.8,2031.35,2597.65,7462.75,7364.15,7302.93,-0.01359,0,7435.1
20-Jan-16,67.96,74.01,96.44,0.58,10.33,8.69,47.27,16416.19,1859.33,2559.77,18886.3,2976.69,5673.6,1965.15,2635.41,7470.9,7241.5,7166.15,-0.01706,0,7309.3
21-Jan-16,67.8,73.73,96.42,0.58,10.3,8.67,47.34,16017.26,1868.99,2532.7,18542.15,2880.48,5773.8,1971.54,2633.1,7398.7,7250,7142.1,-0.00446,0,7276.8
22-Jan-16,67.55,72.93,96.36,0.57,10.27,8.66,47.24,16958.53,1906.9,2577.09,19080.51,2916.56,5900,2122.23,2618,7433.4,7327.6,7190.25,0.01982,0,7422.45
25-Jan-16,67.76,73.51,96.54,0.57,10.3,8.69,47.37,17110.91,1877.08,2582.64,19340.14,2938.51,5877,2144.24,2635.96,7487.15,7421.2,7257.9,0.00184,0,7436.15
27-Jan-16,68.14,74.23,96.99,0.57,10.36,8.74,47.58,17163.92,1882.95,2546.18,19052.45,2735.56,5990.4,2142.42,2674.71,7477.9,7419.7,7327.6,0.00022,0,7437.75
28-Jan-16,68.05,74.44,97.74,0.57,10.35,8.73,47.66,17041.45,1893.36,2562.45,19195.83,2655.66,5931.8,2266.03,2675.92,7468.85,7409.6,7394.98,-0.00176,0,7424.65
29-Jan-16,67.88,73.56,96.71,0.56,10.32,8.72,47.66,17518.3,1940.24,2629.11,19683.11,2737.6,6083.8,2298.59,2661.82,7575.65,7402.8,7443.38,0.01854,0,7563.55
01-Feb-16,67.83,73.86,97.91,0.56,10.31,8.72,47.68,17865.23,1939.38,2602.41,19595.5,2688.85,6060.1,2223.19,2684.77,7600.45,7541.25,7523.58,-0.00101,0,7555.95
02-Feb-16,67.97,74.22,97.96,0.57,10.33,8.72,47.6,17750.68,1903.03,2579.23,19446.84,2749.57,5922,2094.78,2696.08,7576.3,7428.05,7477.6,-0.01338,0,7455.55
03-Feb-16,67.93,75.43,99.21,0.58,10.33,8.71,48.05,17191.25,1912.53,2550.74,18991.59,2739.25,5837.1,2104.86,2713.19,7419.4,7350.3,7444.65,-0.01265,0,7361.8
04-Feb-16,67.54,75.7,98.54,0.58,10.29,8.67,48.33,17044.99,1915.45,2558.49,19183.09,2781.02,5898.8,2217.39,2732.5,7457.05,7365.95,7456.53,0.00572,0,7404
05-Feb-16,67.81,75.67,98.34,0.58,10.32,8.71,48.2,16819.59,1880.05,2623.21,19288.17,2763.49,5848.1,2163.66,2744.22,7503.15,7406.65,7475.3,0.01143,0,7489.1
16-Feb-16,68.47,76.31,97.95,0.6,10.51,8.79,48.74,16054.43,1895.58,2644.58,19122.08,2836.57,5862.2,2069.61,2881.86,7204.65,7037.7,7310.7,-0.06067,0,7048.25
17-Feb-16,68.33,76.04,97.69,0.6,10.47,8.78,48.69,15836.36,1926.82,2613.79,18924.57,2867.34,6030.3,2071.87,2888.1,7123.7,6960.65,7252.93,0.0085,0,7108.45
18-Feb-16,68.54,76.13,98.27,0.61,10.51,8.81,48.87,16196.8,1917.83,2657.57,19363.08,2862.89,5972,2170.34,2896.96,7215.1,7127.85,7317.93,0.01165,0,7191.75
19-Feb-16,68.55,76.32,98.75,0.61,10.51,8.82,48.78,15967.17,1917.78,2656.87,19285.5,2860.02,5950.2,2127.52,2946.92,7226.85,7145.95,7365.63,0.00264,0,7210.75
22-Feb-16,68.53,75.59,96.97,0.61,10.51,8.82,48.97,16111.05,1945.5,2660.65,19464.09,2927.18,6037.7,2296.15,2898.52,7252.4,7200.7,7407.15,0.0033,0,7234.55
23-Feb-16,68.56,75.56,96.14,0.61,10.5,8.83,48.72,16052.05,1921.27,2672.07,19414.78,2903.33,5962.3,2262.13,2924.34,7241.7,7090.7,7409.45,-0.01743,0,7109.55
24-Feb-16,68.43,75.36,95.31,0.61,10.48,8.81,48.69,15915.79,1929.8,2619.96,19192.45,2928.9,5867.2,2167.48,2959.42,7090.8,7009.75,7368.3,-0.01286,0,7018.7
25-Feb-16,68.77,75.81,96.02,0.61,10.53,8.85,49.05,16140.34,1951.7,2603.4,18888.75,2741.25,6012.8,2208.71,2962.99,7034.2,6961.4,7307.15,-0.00688,0,6970.6
26-Feb-16,68.74,75.16,95.34,0.6,10.51,8.84,48.85,16188.41,1948.05,2649.38,19364.15,2767.21,6096,2334.16,2949.68,7052.9,6985.1,7363.53,0.00845,0,7029.75
29-Feb-16,68.21,74.16,94.92,0.61,10.41,8.77,48.49,16026.76,1932.23,2666.51,19111.93,2687.98,6097.1,2283.96,2958.56,7094.6,6825.8,7301.7,-0.00609,0,6987.05
01-Mar-16,67.75,73.63,94.51,0.59,10.34,8.72,48.37,16085.51,1978.35,2682.39,19407.46,2733.17,6152.9,2333.14,2955.63,7235.5,7035.1,7387.63,0.03312,0,7222.3
02-Mar-16,67.39,73.25,94.88,0.59,10.29,8.67,48.25,16746.55,1986.45,2726.96,20003.49,2849.68,6147.1,2326.41,2922.09,7380.35,7308.15,7522.23,0.02009,0,7368.85
03-Mar-16,67.12,73.56,95.16,0.59,10.28,8.64,48.33,16960.16,1993.4,2787.62,19941.76,2859.76,6130.5,2349.02,2942.99,7483.95,7406.05,7522.35,0.01438,0,7475.6
04-Mar-16,66.94,73.66,95.24,0.59,10.29,8.62,48.69,17014.78,1999.99,2837,20176.7,2874.15,6199.4,2368.62,2980.02,7505.9,7444.1,7537.43,0.0013,0,7485.35
08-Mar-16,67.31,74.1,95.68,0.6,10.35,8.67,48.6,16783.15,1979.26,2778.77,20011.58,2901.39,6125.4,2536.74,3000.07,7527.15,7442.15,7505.75,-0.00001,0,7485.3
09-Mar-16,67.13,73.87,95.46,0.59,10.31,8.65,48.59,16642.2,1989.26,2810.43,19996.26,2862.56,6146.3,2526.84,2955.35,7539,7424.3,7551.55,0.00619,0,7531.8
10-Mar-16,67.3,75.25,96.12,0.59,10.34,8.67,48.76,16852.35,1989.57,2809.12,19984.42,2804.73,6036.7,2555.26,2949.8,7547.1,7447.4,7582.4,-0.00608,0,7486.15
11-Mar-16,66.92,74.62,96.28,0.59,10.3,8.62,48.73,16938.87,2022.19,2828.86,20199.6,2810.31,6139.8,2603.37,2971.49,7543.95,7460.6,7662.7,0.00321,0,7510.2
14-Mar-16,67.14,74.56,96.01,0.59,10.33,8.65,48.78,17233.75,2019.64,2847.06,20435.34,2859.5,6174.6,2525.95,2941.07,7583.7,7515.05,7717.83,0.00379,0,7538.75
15-Mar-16,67.37,74.84,95.35,0.6,10.34,8.68,48.75,17117.07,2015.93,2839.44,20288.77,2864.37,6140,2467.01,2905.75,7545.2,7452.8,7701.6,-0.01042,0,7460.6
16-Mar-16,67.17,75.4,95.79,0.6,10.3,8.66,49.22,16974.45,2027.22,2844.21,20257.7,2870.43,6175.5,2534.06,2904.12,7508,7405.15,7691.8,0.0051,0,7498.75
17-Mar-16,66.62,75.41,96.46,0.6,10.29,8.59,49.35,16936.38,2040.59,2880.17,20503.81,2904.83,6201.1,2646.54,2948.13,7585.3,7479.4,7701.38,0.00184,0,7512.55
18-Mar-16,66.38,74.81,96.13,0.6,10.26,8.56,48.87,16724.81,2049.58,2906.8,20671.63,2955.15,6189.6,2729.9,2923.89,7613.6,7517.9,7714.45,0.01215,0,7604.35
22-Mar-16,66.76,74.88,94.85,0.59,10.29,8.61,49.1,17048.55,2049.8,2880.65,20666.75,2999.36,6192.7,2770.41,2915.4,7728.2,7643.8,7809.15,0.01443,0,7714.9
23-Mar-16,66.93,74.86,94.49,0.6,10.29,8.63,48.97,17000.98,2036.71,2881.98,20615.23,3009.96,6199.1,2731.05,2874.5,7726.85,7670.6,7830.8,0.00021,0,7716.5
29-Mar-16,66.38,74.94,95.48,0.59,10.2,8.56,49.01,17103.53,2055.01,2819.08,20366.3,2919.83,6105.9,2586.35,2857.54,7652.9,7582.25,7787.13,-0.01561,0,7597
30-Mar-16,66.38,75.26,95.45,0.59,10.27,8.56,49.16,16878.96,2063.95,2872.78,20803.39,3000.65,6203.2,2597.9,2866.88,7741.95,7643.45,7691.18,0.01803,0,7735.2
31-Mar-16,66.25,75.4,95.15,0.59,10.27,8.54,49.13,16758.67,2059.74,2840.9,20776.7,3003.92,6174.9,2552.24,2863.55,7777.6,7702,7787.83,0.00041,0,7738.4
01-Apr-16,66.36,75.58,94.42,0.59,10.24,8.56,49.13,16164.16,2072.78,2818.49,20498.92,3009.53,6146.1,2501.87,2860.3,7740.15,7666.1,7781.5,-0.00328,0,7713.05
05-Apr-16,66.42,75.61,94.06,0.6,10.25,8.56,49.01,15732.82,2045.17,2800.92,20177,3053.06,6091.2,2380.26,2875.35,7736.3,7588.65,7740.88,-0.01434,0,7603.2
06-Apr-16,66.52,75.82,93.93,0.61,10.26,8.58,49.38,15715.36,2066.66,2811.25,20206.67,3050.59,6161.6,2487.83,2870.64,7638.65,7591.75,7753.9,0.00147,0,7614.35
07-Apr-16,66.76,75.95,93.84,0.62,10.33,8.6,49.35,15749.84,2041.91,2813.59,20266.05,3008.42,6136.9,2507.39,2894,7630.75,7535.85,7708.43,-0.00896,0,7546.45
08-Apr-16,66.55,75.88,94.01,0.62,10.29,8.58,49.33,15821.52,2047.6,2808.32,20370.4,2984.96,6204.4,2608.95,2898.11,7569.35,7526.7,7700.3,0.00116,0,7555.2
11-Apr-16,66.29,75.62,94.4,0.61,10.26,8.55,49.31,15751.13,2041.99,2809.24,20440.81,3033.96,6200.1,2667.58,2927.39,7678.8,7516.85,7728.48,0.01526,0,7671.4
12-Apr-16,66.28,75.47,94.62,0.61,10.25,8.55,49.34,15928.79,2061.72,2814.65,20504.44,3023.65,6242.4,2731.64,2936.85,7717.4,7663.35,7772.7,0.00488,0,7708.95
13-Apr-16,66.5,74.97,94.45,0.61,10.26,8.57,49.23,16381.22,2082.42,2890.41,21158.71,3066.64,6362.9,2784.89,2916.99,7864.8,7772.2,7824.2,0.01819,0,7850.45
18-Apr-16,66.42,75.14,94.8,0.61,10.26,8.56,49.15,16275.95,2094.34,2917.75,21161.5,3033.66,6353.5,2630.24,2906.82,7920.6,7842.75,7827.58,0.00815,0,7914.7
20-Apr-16,66.17,74.75,94.84,0.6,10.23,8.53,49.23,16906.54,2102.4,2949.95,21236.31,2972.58,6410.3,2824.42,2929.31,7950.4,7877.55,7849.08,0.00001,0,7914.75
21-Apr-16,66.49,75.05,95.23,0.61,10.26,8.57,49.28,17363.62,2091.48,2960.78,21622.25,2952.89,6381.4,2927.27,2948.7,7978.45,7884.1,7822.83,-0.00034,0,7912.05
22-Apr-16,66.66,74.88,96.01,0.6,10.25,8.59,49.21,17572.49,2091.58,2940.43,21467.04,2959.24,6310.4,2931.9,2927.27,7923.35,7873.35,7907.28,-0.00161,0,7899.3
25-Apr-16,66.69,75.14,96.03,0.6,10.27,8.6,49.32,17439.3,2087.79,2900.28,21304.44,2946.67,6260.9,2906.65,2918.62,7911,7827,7955,-0.00562,0,7855.05
26-Apr-16,66.4,75.03,96.57,0.6,10.23,8.56,49.13,17353.28,2091.7,2894.66,21407.27,2964.7,6284.5,2900.02,2915.51,7974.5,7822.55,7993.38,0.01361,0,7962.65
27-Apr-16,66.36,75.13,96.83,0.6,10.22,8.56,49.19,17290.49,2095.15,2874.72,21361.6,2953.67,6319.9,2980.56,2934.19,7991,7940.55,8077.08,0.00216,0,7979.9
28-Apr-16,66.4,75.39,97.01,0.61,10.25,8.56,49.36,16666.05,2075.81,2862.3,21388.03,2945.59,6322.4,3032.83,2954.98,7992,7834.45,8024.9,-0.01676,0,7847.25
06-May-16,66.6,75.96,96.11,0.62,10.25,8.58,48.92,16106.72,2057.14,2730.8,20109.87,2913.25,6125.7,2957.71,3024.1,7738.9,7678.35,7953.93,-0.01461,0,7733.45
09-May-16,66.75,75.98,96.11,0.62,10.22,8.6,48.66,16216.03,2058.69,2766.06,20156.81,2832.11,6114.8,2977.08,2998.6,7873.65,7753.55,8007.78,0.017,0,7866.05
10-May-16,66.63,75.77,96.17,0.61,10.25,8.58,48.69,16565.19,2084.39,2741.15,20242.68,2832.59,6156.7,2932.9,2976.74,7896.9,7837.7,8036.2,0.00276,0,7887.8
11-May-16,66.56,76.04,96.24,0.61,10.24,8.58,48.74,16579.01,2064.46,2732.87,20055.29,2837.04,6162.5,3006.05,2998.19,7893.1,7780.9,8037.93,-0.00495,0,7848.85
12-May-16,66.76,75.95,96.17,0.61,10.24,8.6,48.62,16646.34,2064.11,2745.39,19915.46,2835.86,6104.2,3096.85,2989.12,7916.05,7849.65,8069.28,0.00655,0,7900.4
13-May-16,66.86,75.59,96.46,0.62,10.25,8.61,48.71,16412.21,2046.61,2734.91,19719.29,2827.11,6138.5,3090.01,2994.68,7881,7784.2,7954.73,-0.01088,0,7814.9
16-May-16,66.84,75.66,96.1,0.61,10.25,8.61,48.81,16466.4,2066.66,2736.06,19883.95,2850.86,6151.4,3168.32,3013.45,7873.9,7772.15,7953.55,0.00585,0,7860.75
17-May-16,66.83,75.61,96.26,0.61,10.27,8.61,48.8,16652.8,2047.21,2781.11,20118.8,2843.68,6167.8,3212.96,3001.62,7940.1,7879.7,8046.45,0.00381,0,7890.75
18-May-16,67.14,75.31,96.65,0.61,10.3,8.65,48.58,16644.69,2047.63,2777.11,19826.41,2807.51,6165.8,3255,3001.28,7882.05,7810.75,7995.7,-0.00261,0,7870.15
19-May-16,67.44,75.55,98.02,0.61,10.29,8.68,48.83,16646.66,2040.04,2740.11,19694.33,2806.91,6053.4,3210.44,2974.38,7876.2,7766.8,7981.03,-0.01108,0,7783.4
20-May-16,67.41,75.66,98.54,0.61,10.28,8.68,48.79,16736.35,2052.32,2763.82,19852.2,2825.48,6156.3,3294.56,2978.1,7812.4,7735.75,7989.95,-0.00434,0,7749.7
23-May-16,67.41,75.63,98.21,0.62,10.31,8.68,48.93,16654.6,2048.04,2766.93,19809.03,2843.65,6136.4,3243.88,2967.13,7820.6,7722.2,7989.73,-0.00241,0,7731.05
24-May-16,67.63,75.35,97.64,0.61,10.26,8.71,48.95,16498.76,2076.06,2750.23,19830.43,2821.67,6219.3,3283.76,2951.58,7761.55,7715.8,7977.08,0.0023,0,7748.85
25-May-16,67.27,75.04,98.98,0.61,10.21,8.66,48.81,16757.35,2090.54,2766.66,20368.05,2815.09,6262.9,3322.88,2903.26,7941.2,7809.3,8047.45,0.02373,0,7934.9
26-May-16,66.93,74.92,98.86,0.61,10.21,8.62,48.72,16772.46,2090.1,2773.31,20397.11,2822.44,6265.7,3346.27,2897.26,8083,7948.5,8024.6,0.01684,0,8069.65
27-May-16,67.03,74.51,98.19,0.61,10.2,8.63,48.59,16834.84,2099.06,2802.51,20576.77,2821.05,6270.8,3298.69,2871.84,8164.2,8077.05,8098.85,0.01072,0,8156.65
31-May-16,67.21,74.82,98.33,0.61,10.26,8.65,48.78,17234.98,2096.95,2791.06,20815.09,2916.62,6230.8,3345.53,2878.8,8213.6,8134.3,8140.33,0.00042,0,8160.1
01-Jun-16,67.43,75.45,97.31,0.62,10.22,8.68,48.97,16955.73,2099.33,2790.54,20760.98,2913.51,6191.9,3283.3,2899.03,8215.35,8171.05,8191.73,0.00243,0,8179.95
02-Jun-16,67.27,75.01,97.21,0.62,10.21,8.66,48.89,16562.55,2105.26,2795.09,20859.22,2925.23,6185.6,3292.84,2893.05,8229.5,8154.75,8231.45,0.00476,0,8218.95
03-Jun-16,67,76.16,97.02,0.63,10.18,8.63,49.37,16642.23,2099.13,2809.23,20947.24,2938.68,6209.6,3286.01,2920.44,8262,8209.85,8283.3,0.00023,0,8220.8
06-Jun-16,66.79,75.84,97.31,0.62,10.14,8.6,49.27,16580.03,2109.41,2831.28,21030.22,2934.1,6273.4,3312.24,2943.34,8234.7,8186.05,8292.25,-0.00241,0,8201.05
07-Jun-16,66.66,75.71,96.45,0.62,10.13,8.58,49.33,16675.45,2112.13,2848.09,21328.24,2936.04,6284.5,3342.18,2931.82,8294.95,8216.4,8298.93,0.00794,0,8266.45
08-Jun-16,66.5,75.77,96.95,0.62,10.17,8.57,49.37,16830.92,2119.12,2862.38,21297.88,2927.16,6301.5,3394.15,2957.01,8288.9,8252.05,8307,0.0008,0,8273.05
13-Jun-16,67.19,75.87,95.49,0.63,10.2,8.65,49.58,16019.18,2079.06,2785.43,20512.99,2833.07,6045,3271.69,3036.66,8125.25,8063.9,8208.6,-0.01983,0,8110.6
14-Jun-16,67.29,75.42,95.89,0.63,10.19,8.67,49.66,15859,2075.32,2768.33,20387.53,2842.19,5923.5,3255.37,3044.3,8134.95,8069.5,8272.38,-0.00022,0,8108.85
15-Jun-16,67.08,75.53,94.99,0.63,10.21,8.64,49.59,15919.58,2071.5,2774.25,20467.52,2887.21,5966.8,3233.52,3042.32,8213.2,8123.15,8324.88,0.01198,0,8206.6
16-Jun-16,67.31,75.57,95.29,0.65,10.18,8.68,49.91,15434.14,2077.99,2751.56,20038.42,2872.82,5950.5,3162.84,3097.42,8180.65,8074.45,8312.35,-0.00806,0,8140.75
17-Jun-16,67.07,75.64,95.6,0.64,10.27,8.64,49.71,15599.66,2071.22,2763.42,20169.98,2885.1,6021.1,3171.2,3047.23,8195.25,8135.8,8353.6,0.00361,0,8170.2
20-Jun-16,67.55,76.02,99.29,0.65,10.25,8.71,50.34,15965.3,2083.25,2800.87,20510.2,2888.81,6204,3315.67,3052.89,8244.15,8107.35,8351.08,0.00832,0,8238.5
21-Jun-16,67.62,76.2,99.05,0.65,10.23,8.69,50.41,16169.11,2088.9,2789.45,20668.44,2878.56,6226.6,3350.53,3041.41,8257.25,8202.15,8394.63,-0.00226,0,8219.9
22-Jun-16,67.45,76.62,99.2,0.63,10.25,8.67,50.31,16065.72,2085.45,2786.13,20795.12,2905.55,6261.2,3371.99,3015.33,8238.35,8153.25,8346.65,-0.00197,0,8203.7
23-Jun-16,67.28,75.47,100.11,0.66,10.21,8.75,50.2,16238.35,2113.32,2793.85,20868.34,2891.96,6338.1,3351.21,2999.54,8285.6,8188.3,8379.1,0.0081,0,8270.45
24-Jun-16,67.88,74.87,92.85,0.67,10.19,8.75,49.83,14952.02,2037.41,2735.39,20259.13,2854.29,6138.7,3261.99,3153.88,8100.7,7927.05,8256.15,-0.02223,0,8088.6
