Date,Close,DT,RF,SVR,LASSO,RIDGE,BayR,GB,SGD,LSTM,GRU
19-Oct-20,11873.05,12103.7,11722.03,11950.18676,11901.43728,11898.90887,11910.65797,11657.128,11949.58696,11932.06453,11897.25
20-Oct-20,11896.8,12238.5,11608.045,11881.58483,11793.26718,11812.98252,11798.58547,11569.828,11881.57873,11909.12525,11922.4
21-Oct-20,11937.65,12336,11618.93,11927.1089,11875.7439,11874.56448,11884.72475,11554.028,11924.77921,11873.36821,12031.95
22-Oct-20,11896.45,12344.95,11527.58,11887.12032,11842.46967,11840.68159,11851.43179,11462.678,11889.78195,11824.79333,11918.85
23-Oct-20,11930.35,12369.8,11570.53,11996.13978,11938.53768,11940.2498,11947.74382,11505.628,11999.73966,11924.78169,11959.75
26-Oct-20,11767.75,12159,11456.13,11873.36164,11813.88756,11815.96382,11822.93233,11391.228,11874.23238,11799.35237,11784.95
27-Oct-20,11889.4,12311.9,11546.53,11944.5308,11863.78696,11879.87456,11870.02013,11481.628,11946.70584,11821.39324,11908
28-Oct-20,11729.6,12162.15,11376.68,11778.83628,11714.31079,11713.44525,11724.50102,11311.778,11774.13144,11629.98919,11746.5
29-Oct-20,11670.8,11840.55,11580.68,11993.88097,11932.68986,11936.60504,11941.28983,11515.778,11995.41954,11767.74474,11707
30-Oct-20,11642.4,11872.05,11465.695,11759.96682,11603.63498,11657.01226,11603.15223,11427.478,11751.41422,11622.36655,11676.3
04-Nov-20,11908.5,12110.55,11759.395,12060.48276,11944.49253,11971.32267,11949.50137,11721.178,12052.16803,11943.39881,11933.9
05-Nov-20,12120.3,12512.9,11783.975,12026.9943,11925.96265,11930.46922,11936.85486,11742.428,12010.76808,12081.75352,12146
06-Nov-20,12263.55,12697.05,11909.68,12302.79181,12217.63315,12217.89961,12229.12053,11844.778,12292.51032,12229.77335,12285.95
09-Nov-20,12461.05,13000.05,12001.68,12449.30084,12358.11959,12371.25082,12366.12526,11936.778,12445.47812,12382.8668,12484.55
10-Nov-20,12631.1,13151.1,12190.73,12720.18663,12646.65439,12647.16574,12657.59116,12125.828,12717.11284,12663.3621,12650.6
11-Nov-20,12749.15,13281.35,12296.58,12811.66619,12733.0801,12733.94738,12744.21281,12231.678,12806.25126,12737.787,12775.45
12-Nov-20,12690.8,13219.85,12241.38,12793.54978,12694.39291,12703.29329,12704.72031,12176.478,12787.12239,12579.38567,12727.9
